title,type,description,listed_in,cast,director,country,release_year,rating,popularity
The Matrix,Movie,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Action, Science Fiction","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",Lana Wachowski,Unknown,1999,8.247,257.5238
Your Heart Will Be Broken,Movie,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.","Romance, Drama","Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer",Mikhail Vaynberg,Unknown,2026,6.762,255.3572
Chand Mera Dil,Movie,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.","Romance, Drama","Ananya Panday, Lakshya Lalwani, Aastha Singh, Paresh Pahuja, Manish Chaudhary",Vivek Soni,Unknown,2026,5.5,175.793
The Shadow's Edge,Movie,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action, Crime, Drama, Thriller","Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai, Ci Sha, Jun",Larry Yang,Unknown,2025,7.425,168.7615
Mortal Kombat II,Movie,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.","Action, Fantasy, Adventure","Karl Urban, Adeline Rudolph, Jessica McNamee, Josh Lawson, Martyn Ford",Simon McQuoid,Unknown,2026,6.8,167.7321
Pati Patni Aur Woh Do,Movie,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",Comedy,"Ayushmann Khurrana, Wamiqa Gabbi, Rakul Preet Singh, Sara Ali Khan, Vijay Raaz",Mudassar Aziz,Unknown,2026,7.5,167.4581
The Mandalorian and Grogu,Movie,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.","Action, Adventure, Science Fiction","Pedro Pascal, Jeremy Allen White, Sigourney Weaver, Brendan Wayne, Lateef Crowder",Jon Favreau,Unknown,2026,6.882,162.5472
Over Your Dead Body,Movie,"A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.","Action, Comedy, Thriller","Samara Weaving, Jason Segel, Paul Guilfoyle, Timothy Olyphant, Keith Jardine",Jorma Taccone,Unknown,2026,6.88,160.3583
Graphic Desires,Movie,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.","Thriller, Crime","David Wayman, Sian Altman, May Kelly, Ocean M Harris, Valis Volkova",Andy Edwards,Unknown,2023,6.975,158.2495
The Devil Wears Prada,Movie,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.","Drama, Comedy","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker",David Frankel,Unknown,2006,7.427,155.4556
Avatar: Fire and Ash,Movie,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","Science Fiction, Adventure, Fantasy","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",James Cameron,Unknown,2025,7.531,154.2828
Nymphomaniac: Vol. II,Movie,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,"Drama, Mystery","Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf, Willem Dafoe",Lars von Trier,Unknown,2013,6.711,152.8571
Kattalan,Movie,"Power-hungry forces clash in the Ivory cartel war-a fierce story of control, vengeance, and survival where compassion vanishes and only the ruthless endure.","Action, Thriller","Antony Varghese, Sunil Varma, Dushara Vijayan, Jagadish, Kabir Duhan Singh",Paul George,Unknown,2026,6.0,151.4169
Mortal Kombat,Movie,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.","Action, Fantasy, Adventure","Lewis Tan, Jessica McNamee, Mehcad Brooks, Josh Lawson, Ludi Lin",Simon McQuoid,Unknown,2021,7.036,151.1462
Hoppers,Movie,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.","Adventure, Animation, Comedy, Family, Science Fiction","Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco",Daniel Chong,Unknown,2026,8.164,145.8289
Iron Lung,Movie,"In a post-apocalyptic future where an event known as ""The Quiet Rapture"" caused all known stars and habitable planets in the universe to disappear, a convict is sent to search an ocean of blood discovered on a desolate moon, using a small submarine nicknamed the ""Iron Lung"".","Horror, Mystery, Science Fiction","Mark Fischbach, Caroline Kaplan, Troy Baker, Elsie Lovelock, Elle LaMont",Mark Fischbach,Unknown,2026,7.2,145.7933
Red Latex,Movie,"Eric lives with his pregnant wife in his in-laws' house because they have no money to become independent. Eric is very docile and the people around him: his wife, his father, his father-in-law, and his boss have always told him what he has to do with his life. But everything has a limit. Fed of with this situation, Eric leaves his family and escapes to the mansion of the dominatrix Mistress Gise to become her slave. Eric hopes to achieve liberation by submitting to Mistress Gise. When his family finds out, they do what they can to get him back. Meanwhile, Mistress Gise is a twisted Domina who takes Eric's slavery beyond any expected limit.",Thriller,"Fedra Duarte, Nestor Napolitano, Valeria Rowinski",Gerard Marcó de Mas,Unknown,2020,5.1,129.4559
Karuppu,Movie,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.","Action, Fantasy","Suriya, Trisha Krishnan, RJ Balaji, Indrans, Anagha Maya Ravi",RJ Balaji,Unknown,2026,7.5,128.292
Damage,Movie,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,"Drama, Romance","Jeremy Irons, Juliette Binoche, Miranda Richardson, Rupert Graves, Peter Stormare",Louis Malle,Unknown,1992,6.6,125.3256
Door II: Tokyo Diary,Movie,Ai is a call girl that makes good money for what she does but there’s always at risk no matter how good the money is.,"Thriller, Drama","Chikako Aoyama, Joe Yamanaka, Shingo Kazami, Chiharu Iwamoto, Tatsuo Yamada",Banmei Takahashi,Unknown,1991,6.071,123.9785
Apex,Movie,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,"Action, Thriller","Charlize Theron, Taron Egerton, Eric Bana, Caitlin Stasey, Bessie Holland",Baltasar Kormákur,Unknown,2026,6.7,122.1691
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Movie,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","Animation, Action, Fantasy","Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya",Haruo Sotozaki,Unknown,2025,7.728,119.9525
GOAT,Movie,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.","Animation, Comedy, Family","Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan",Tyree Dillihay,Unknown,2026,8.1,116.6577
Michael,Movie,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","Music, Drama","Jaafar Jackson, Colman Domingo, Nia Long, Juliano Krue Valdi, Miles Teller",Antoine Fuqua,Unknown,2026,7.573,112.6836
Infiltrate,Movie,"In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever.","Action, Thriller","Orphée Ladouceur-Nguyen, Alain Moussi, Tim Rozon, Finn McCager Higgins, Lisa Berry",James Mark,Unknown,2026,5.2,111.6802
Mark,Movie,"Mark is suspended from his police duties for his unruly yet effective ways of operating, but when 18 children are abducted and found dead, races to catch the criminals. With only 18 hours left, he must confront powerful foes and use unconventional tactics to succeed.","Action, Thriller","Sudeepa, Deepshika Umapathy, Naveen Chandra, Shine Tom Chacko, Yogi Babu",Vijay Kartikeyaa,Unknown,2025,4.0,109.2945
